Name,Lat,Lon,Address,City,State ,Zip,University or Dept of Ag affiliated or Private,Link,Affiliation
Alabama Veterinary Diagnostic Laboratory,32.40,-86.27,1445 Federal Drive,Montgomery ,Alabama,36107,Ag,http://agi.alabama.gov/arc/divisions/avdl,Alabama Dept of Agriculture & Industries
Thompson-Bishop-Sparks State Diagnostic Laboratory,32.59,-85.51,890 Simms Road,Auburn,Alabama,36832,University,http://www.agi.alabama.gov/arc/divisions/avdl/diagnostic-laboratories/auburn-lab,Auburn University
Mitchum-Sparks Regional Diagnostic Laboratory,34.23,-86.18,1833 Industrial Blvd,Boaz,Alabama,35957,Ag,http://www.agi.alabama.gov/arc/divisions/avdl/diagnostic-laboratories/boaz-regional-lab,Alabama Dept of Agriculture & Industries
Hinton-Mitchem Poultry Regional Diagnostic Laboratory,34.07,-86.79,1001 College Road,Hanceville,Alabama,35077,Ag,http://www.agi.alabama.gov/arc/divisions/avdl/diagnostic-laboratories/hanceville-regional-lab,Alabama Dept of Agriculture & Industries
J.B. Taylor Regional Veterinary Diagnostic Laboratory,31.41,-86.09,495 State Road 203,Elba,Alabama,36323,Ag,http://www.agi.alabama.gov/arc/divisions/avdl/diagnostic-laboratories/elba-regional-lab,Alabama Dept of Agriculture & Industries
Athens Veterinary Diagnostic Laboratory,33.94,-83.37,501 DW Brooks Dr.,Athens,Georgia,30602,University,http://vet.uga.edu/dlab/,University of Georgia College of Veterinary Medicine
Tifton Veterinary Diagnostic and Investigational Laboratory,31.51,-83.52,43 Brighton Rd,Tifton,Georgia,31793,University,http://vet.uga.edu/dlab/,University of Georgia College of Veterinary Medicine
University of Kentucky Veterinary Diagnostic Laboratory,38.09,-84.49,1490 Bull Lea Rd,Lexington,Kentucky,40511,University,vdl.uky.edu,University of Kentucky 
Breathitt Veterinary Center,36.88,-87.49,715 North Drive,Hopkinsville,Kentucky,42241,University,https://breathitt.murraystate.edu/,Murray State University
Frederick Animal Health Lab,39.41,-77.41,1840 Rosemont Ave,Frederick ,Maryland,21702,Ag,http://mda.maryland.gov/animalHealth/Pages/laboratory.aspx,Maryland Departmen of Agriculture
Salisbury Animal Health Lab,38.37,-75.66,27722 Nanticoke Rd,Salisbury,Maryland,21801,Ag,http://mda.maryland.gov/animalHealth/Pages/laboratory.aspx,Maryland Departmen of Agriculture
Mississippi Veterinary Research & Diagnostic Laboratory System,32.24,-90.10,3137 Highway 468 West,Pearl,Mississippi,39208,University,http://www.cvm.msstate.edu/animal-health-center/diagnostic-labs,Mississippi College of Veterinary Medicine
CVM Diagnostic Laboratory Services,33.45,-88.82,240 Wise Center Dr,Starkville,Mississippi,39762,University,http://www.cvm.msstate.edu/animal-health-center/diagnostic-labs,Mississippi College of Veterinary Medicine
Aquatic Research & Diagnostic Laboratory-Stoneville,33.42,-90.91,127 Experiment Station Rd,Stoneville,Mississippi,38776,University,http://www.cvm.msstate.edu/animal-health-center/diagnostic-labs,Mississippi College of Veterinary Medicine
Animal Health Diagnostic Center,42.44,-76.50,Cornell CVM,Ithaca,New York,14853,University,https://ahdc.vet.cornell.edu/,Cornell University College of Veterinary Medicine
VetAura Veterinary Diagnostic Laboratory,40.87,-73.61,480 Forest Ave,Locust Valley,New York,11560,Private,http://vetaura.com/about/locations/,Private Laboratory
VetAura Veterinary Diagnostic Laboratory,40.04,-75.55,330 Lancaster Ave,Malvern,Pennsylvania,19355,Private,http://vetaura.com/about/locations/,Private Laboratory
Rollins Animal Disease Laboratory (Main),35.81,-78.71,2101 Blue Ridge Rd,Raleigh,North Carolina,27607,University,http://www.ncagr.gov/vet/ncvdl/,NC State University College of Veterinary Medicine
Diagnostic Testing Lab- Dept of Clinical Sciences,35.80,-78.70,1060 William Moore Drive,Raleigh,North Carolina,27607,University,https://cvm.ncsu.edu/research/labs/clinical-sciences/vector-borne-disease/,NC State University College of Veterinary Medicine
Griffin Laboratory,34.98,-80.52,401 Quarry Road,Monroe,North Carolina,28112,University,http://www.ncagr.gov/vet/ncvdl/VetLabDirectoryMonroe.html,NC State University  
Elkin Laboratory (Northwestern),36.28,-80.86,1689 N. Bridge Street,Elkin,North Carolina,28621,University,http://www.ncagr.gov/vet/ncvdl/VetLabDirectoryElkin.html,NC State University  
Arden Laboratory (Western),35.43,-82.53,785 Airport Road,Fletcher,North Carolina,28732,University,http://www.ncagr.gov/vet/ncvdl/VetLabDirectoryArden.html,NC State University  
Animal Disease Diagnostic Laboratory,39.95,-82.76,8995 East Main Street,Reynoldsburg,Ohio,43068,Ag,http://www.ohioagriculture.gov/addl/,Ohio Dept of Agriculture & OSU College of Veterinary Medicine
Penn Vet Diagnostic Laboratory,39.95,-75.20,3800 Spruce Street,Philadelphia,Pennsylvania,19104,University,http://www.vet.upenn.edu/veterinary-hospitals/ryan-veterinary-hospital/services/diagnostic-laboratories,University of Pennsylvania School of Veterinary Medicine
Animal Diagnostic Laboratory,40.82,-77.86,Wiley Lane,University Park,Pennsylvania,16802,University,http://vbs.psu.edu/adl,Penn State 
Pennsylvania Veterinary Laboratory,40.29,-76.88,2305 N Cameron St,Harrisburg,Pennsylvania,17110,Ag,http://www.padls.org/,Pennsylvania Dept of Agriculture
